# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 21 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
1.6625000000000004e+01  4.4404752123988702e+00  -8.6769622187995799e-01  3.5680678695709317e-02
1.6875000000000000e+01  4.5007025250541979e+00  -8.2839459540934124e-01  3.5114179548218022e-02
1.7125000000000004e+01  4.5564022684928203e+00  -7.9349485334055192e-01  3.4588152592572308e-02
1.7375000000000000e+01  4.6077715416569687e+00  -7.6280392455721113e-01  3.4106292639891150e-02
1.7625000000000004e+01  4.6550349268106519e+00  -7.3610114763116918e-01  3.3671533164365053e-02
1.7875000000000000e+01  4.6984451013876303e+00  -7.1313764409225078e-01  3.3286067994937336e-02
1.8125000000000004e+01  4.7382822548959522e+00  -6.9363689229434833e-01  3.2951371915254241e-02
1.8375000000000004e+01  4.7748514669232076e+00  -6.7729734163359856e-01  3.2668236497960038e-02
1.8625000000000004e+01  4.8084785876534406e+00  -6.6379652865485461e-01  3.2436803584172572e-02
1.8875000000000000e+01  4.8395040419802813e+00  -6.5279726967666196e-01  3.2256624063951196e-02
1.9125000000000000e+01  4.8682757625383033e+00  -6.4395472888096883e-01  3.2126701320027123e-02
1.9375000000000004e+01  4.8951408739478062e+00  -6.3692473454027931e-01  3.2045561851123401e-02
1.9625000000000000e+01  4.9204373799515642e+00  -6.3137209468147137e-01  3.2011319748695671e-02
1.9875000000000004e+01  4.9444862291619618e+00  -6.2697853472268417e-01  3.2021744736416627e-02
2.0125000000000000e+01  4.9675844153338256e+00  -6.2344960125994975e-01  3.2074333999005361e-02
2.0375000000000004e+01  4.9899996104829896e+00  -6.2052003371479714e-01  3.2166381687557942e-02
2.0625000000000004e+01  5.0119665349707683e+00  -6.1795739928056115e-01  3.2295042394077260e-02
2.0875000000000004e+01  5.0336851119794614e+00  -6.1556394355345079e-01  3.2457389616239077e-02
2.1125000000000000e+01  5.0553204367899420e+00  -6.1317662712998589e-01  3.2650472821237522e-02
2.1375000000000004e+01  5.0770039941859846e+00  -6.1066591315206109e-01  3.2871358936510019e-02
2.1625000000000004e+01  5.0988360936890640e+00  -6.0793333757848034e-01  3.3117172545028307e-02
2.1875000000000000e+01  5.1208892000643358e+00  -6.0490818494879939e-01  3.3385131046175166e-02
2.2125000000000000e+01  5.1432113644345350e+00  -6.0154406171432973e-01  3.3672564356515992e-02
2.2375000000000000e+01  5.1658298474862416e+00  -5.9781527756498098e-01  3.3976931924686461e-02
2.2625000000000004e+01  5.1887550659755748e+00  -5.9371290571390345e-01  3.4295841432784788e-02
2.2875000000000004e+01  5.2119836965635606e+00  -5.8924168217363215e-01  3.4627050661454245e-02
2.3125000000000000e+01  5.2355018600155079e+00  -5.8441682691248431e-01  3.4968473664685182e-02
2.3375000000000000e+01  5.2592877846506330e+00  -5.7926138479314426e-01  3.5318180790086764e-02
2.3625000000000004e+01  5.2833140339664677e+00  -5.7380400186691416e-01  3.5674395708243260e-02
2.3875000000000004e+01  5.3075493425281000e+00  -5.6807709309049192e-01  3.6035490605392462e-02
2.4125000000000004e+01  5.3319603421902215e+00  -5.6211512120890372e-01  3.6399982342978858e-02
2.4375000000000000e+01  5.3565123803300088e+00  -5.5595377922042299e-01  3.6766521596238042e-02
2.4625000000000000e+01  5.3811710272468805e+00  -5.4962849035210359e-01  3.7133890501978822e-02
2.4875000000000004e+01  5.4059022497813904e+00  -5.4317423361163231e-01  3.7500989812072984e-02
2.5125000000000000e+01  5.4306733041429984e+00  -5.3662465661568781e-01  3.7866833834916257e-02
2.5375000000000000e+01  5.4554529164399064e+00  -5.3001189636777024e-01  3.8230540862854337e-02
2.5625000000000000e+01  5.4802115567848606e+00  -5.2336630789312366e-01  3.8591325596396824e-02
2.5875000000000004e+01  5.5049216671294241e+00  -5.1671623945167910e-01  3.8948491885419309e-02
2.6125000000000004e+01  5.5295576481804476e+00  -5.1008804714103961e-01  3.9301425025555885e-02
2.6375000000000004e+01  5.5540960138415159e+00  -5.0350594375057511e-01  3.9649585278929159e-02
2.6625000000000000e+01  5.5785150758479212e+00  -4.9699231350310891e-01  3.9992500681782388e-02
2.6875000000000004e+01  5.6027953726384512e+00  -4.9056728938630290e-01  4.0329761948708021e-02
2.7125000000000004e+01  5.6269189815365745e+00  -4.8424943709471613e-01  4.0661015909182696e-02
2.7375000000000000e+01  5.6508698911472077e+00  -4.7805538846152285e-01  4.0985961027277709e-02
2.7625000000000000e+01  5.6746338740616142e+00  -4.7199997010093320e-01  4.1304342126484650e-02
2.7875000000000000e+01  5.6981981026285125e+00  -4.6609658629021933e-01  4.1615946185412880e-02
2.8125000000000004e+01  5.7215511916969666e+00  -4.6035717890271455e-01  4.1920598402168142e-02
2.8375000000000004e+01  5.7446832471319382e+00  -4.5479218168433322e-01  4.2218157963221453e-02
2.8625000000000004e+01  5.7675856140667312e+00  -4.4941077164392240e-01  4.2508514796599839e-02
2.8875000000000000e+01  5.7902505217408606e+00  -4.4422122247431561e-01  4.2791587798765220e-02
2.9125000000000004e+01  5.8126717132117172e+00  -4.3923028350213977e-01  4.3067318762898307e-02
2.9375000000000004e+01  5.8348434472460058e+00  -4.3444416896893534e-01  4.3335674081733874e-02
2.9625000000000000e+01  5.8567610492132367e+00  -4.2986801474731173e-01  4.3596639439633836e-02
2.9875000000000000e+01  5.8784207787134175e+00  -4.2550601100339502e-01  4.3850217450405592e-02
3.0125000000000000e+01  5.8998194997528506e+00  -4.2136172986907949e-01  4.4096427498068191e-02
3.0375000000000004e+01  5.9209546958824744e+00  -4.1743811183984070e-01  4.4335303681892410e-02
3.0625000000000004e+01  5.9418245343914569e+00  -4.1373740365875200e-01  4.4566892097506014e-02
3.0875000000000004e+01  5.9624276957168840e+00  -4.1026132818884609e-01  4.4791250356529963e-02
3.1125000000000000e+01  5.9827634705419932e+00  -4.0701098962553584e-01  4.5008444602787696e-02
3.1375000000000004e+01  6.0028314224181658e+00  -4.0398720795289789e-01  4.5218551576309551e-02
3.1625000000000000e+01  6.0226316193209870e+00  -4.0119029111495097e-01  4.5421654472003546e-02
3.1875000000000000e+01  6.0421643932209781e+00  -3.9862027348491447e-01  4.5617844472102556e-02
3.2125000000000000e+01  6.0614305749182424e+00  -3.9627668474686928e-01  4.5807216032211662e-02
3.2375000000000000e+01  6.0804311306957892e+00  -3.9415890960246625e-01  4.5989870779006604e-02
3.2625000000000000e+01  6.0991673744737112e+00  -3.9226597894369242e-01  4.6165913212425289e-02
3.2875000000000007e+01  6.1176407463084219e+00  -3.9059678928165420e-01  4.6335453291747701e-02
3.3125000000000007e+01  6.1358530777290481e+00  -3.8914984136677688e-01  4.6498600514443385e-02
3.3375000000000000e+01  6.1538061711204897e+00  -3.8792365609682999e-01  4.6655470876062435e-02
3.3625000000000000e+01  6.1715021056726025e+00  -3.8691647295164566e-01  4.6806180189993142e-02
3.3875000000000000e+01  6.1889430797449263e+00  -3.8612640613765770e-01  4.6950846288720101e-02
3.4125000000000000e+01  6.2061314783555748e+00  -3.8555137842490916e-01  4.7089586554291733e-02
3.4375000000000000e+01  6.2230697225980665e+00  -3.8518927021805860e-01  4.7222520803630236e-02
3.4625000000000000e+01  6.2397602329160593e+00  -3.8503795618120495e-01  4.7349772249193560e-02
3.4875000000000000e+01  6.2562057207649309e+00  -3.8509501771839538e-01  4.7471458394514679e-02
3.5125000000000007e+01  6.2724088651424692e+00  -3.8535806259559768e-01  4.7587699285108587e-02
3.5375000000000007e+01  6.2883723516293752e+00  -3.8582468669933867e-01  4.7698616500876423e-02
3.5625000000000000e+01  6.3040989442784632e+00  -3.8649240336921942e-01  4.7804330374859573e-02
3.5875000000000000e+01  6.3195914596559879e+00  -3.8735866928529550e-01  4.7904960160144373e-02
3.6125000000000000e+01  6.3348528167610718e+00  -3.8842083544906592e-01  4.8000620837682480e-02
3.6375000000000000e+01  6.3498857629669070e+00  -3.8967641786527540e-01  4.8091435426444493e-02
3.6625000000000000e+01  6.3646932919289485e+00  -3.9112268533543526e-01  4.8177514703440269e-02
3.6875000000000000e+01  6.3792782119266649e+00  -3.9275708562983702e-01  4.8258978469899426e-02
3.7125000000000000e+01  6.3936434519354064e+00  -3.9457694362188755e-01  4.8335938947692961e-02
3.7375000000000007e+01  6.4077919021241438e+00  -3.9657961885565518e-01  4.8408509179861274e-02
3.7625000000000007e+01  6.4217264672097274e+00  -3.9876245304632363e-01  4.8476798949446266e-02
3.7875000000000000e+01  6.4354500024734076e+00  -4.0112283336168542e-01  4.8540920316473224e-02
3.8125000000000000e+01  6.4489653754409693e+00  -4.0365813168634634e-01  4.8600982209945430e-02
3.8375000000000000e+01  6.4622754540793492e+00  -4.0636571638999719e-01  4.8657088942182236e-02
3.8625000000000000e+01  6.4753830590503787e+00  -4.0924299955847143e-01  4.8709347588586936e-02
