# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 22 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
1.3250000000000000e+01  -2.9529477492303666e+00  -7.2843632445681763e+00  3.9583096827772862e-02
1.3375000000000000e+01  -2.8361225161322929e+00  -7.1749578065793189e+00  4.0132032995741834e-02
1.3500000000000002e+01  -2.7195169048526227e+00  -7.0657616796976459e+00  4.0623525897241032e-02
1.3625000000000000e+01  -2.6034042367242165e+00  -6.9570464441248987e+00  4.1052182412221874e-02
1.3750000000000000e+01  -2.4880326128026171e+00  -6.8490583101423548e+00  4.1414345583745397e-02
1.3875000000000000e+01  -2.3736250248166453e+00  -6.7420182939776687e+00  4.1707878589143377e-02
1.4000000000000002e+01  -2.2603805952498259e+00  -6.6361235160784542e+00  4.1931962140786865e-02
1.4124999999999998e+01  -2.1484764550849897e+00  -6.5315491295421495e+00  4.2086909104059420e-02
1.4250000000000000e+01  -2.0380699032654981e+00  -6.4284505226376538e+00  4.2173998629085191e-02
1.4375000000000000e+01  -1.9293005904284179e+00  -6.3269655383697456e+00  4.2195327873316292e-02
1.4500000000000000e+01  -1.8222926051253940e+00  -6.2272165894910252e+00  4.2153679453090377e-02
1.4625000000000002e+01  -1.7171563803013308e+00  -6.1293125872040157e+00  4.2052406563649426e-02
1.4750000000000000e+01  -1.6139903911798121e+00  -6.0333506551286487e+00  4.1895328963743657e-02
1.4875000000000000e+01  -1.5128825910386834e+00  -5.9394175758879966e+00  4.1686644966140746e-02
1.5000000000000000e+01  -1.4139116338905813e+00  -5.8475910194917580e+00  4.1430850914090177e-02
1.5125000000000002e+01  -1.3171477919772066e+00  -5.7579404628083211e+00  4.1132673813721432e-02
1.5249999999999998e+01  -1.2226537246722955e+00  -5.6705279560863717e+00  4.0797007734291825e-02
1.5375000000000000e+01  -1.1304849127497671e+00  -5.5854085526261237e+00  4.0428861504641013e-02
1.5500000000000000e+01  -1.0406899412549568e+00  -5.5026305839517615e+00  4.0033309332375665e-02
1.5625000000000000e+01  -9.5331052753160495e-01  -5.4222356784396135e+00  3.9615447623213847e-02
1.5750000000000002e+01  -8.6838127953526212e-01  -5.3442585091240780e+00  3.9180355936095201e-02
1.5875000000000000e+01  -7.8592939893359492e-01  -5.2687264840818129e+00  3.8733059345958679e-02
1.6000000000000000e+01  -7.0597401818290573e-01  -5.1956590713715567e+00  3.8278495092709093e-02
1.6125000000000000e+01  -6.2852549579524264e-01  -5.1250670808028236e+00  3.7821479664079123e-02
1.6250000000000000e+01  -5.5358447093249397e-01  -5.0569517055876769e+00  3.7366677398060218e-02
