# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 33 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
1.3250000000000000e+01  -8.4381691758586186e+00  -1.2488663610838866e+01  3.3703587152303614e-02
1.3375000000000000e+01  -8.3106383924763279e+00  -1.2366790177961148e+01  3.4081462543258348e-02
1.3500000000000002e+01  -8.1815219528385814e+00  -1.2243325278579329e+01  3.4611936909698916e-02
1.3625000000000000e+01  -8.0499707545919019e+00  -1.2117425050934949e+01  3.5257326336112838e-02
1.3750000000000000e+01  -7.9156247172167289e+00  -1.1988733234068203e+01  3.5978102659004779e-02
1.3875000000000000e+01  -7.7785141533296160e+00  -1.1857282531874812e+01  3.6735964558953262e-02
1.4000000000000002e+01  -7.6389428035755911e+00  -1.1723377710069851e+01  3.7495945905413310e-02
1.4124999999999998e+01  -7.4973811886568891e+00  -1.1587489064873608e+01  3.8227642357710173e-02
1.4250000000000000e+01  -7.3543833200050512e+00  -1.1450169290123554e+01  3.8905750386084570e-02
1.4375000000000000e+01  -7.2105286894967415e+00  -1.1311995649122650e+01  3.9510131533846665e-02
1.4500000000000000e+01  -7.0663857664383967e+00  -1.1173533667028357e+01  4.0025582822894132e-02
1.4625000000000002e+01  -6.9224914990350577e+00  -1.1035316830445094e+01  4.0441445383592921e-02
1.4750000000000000e+01  -6.7793417390585020e+00  -1.0897837203686507e+01  4.0751141857354907e-02
1.4875000000000000e+01  -6.6373884645182297e+00  -1.0761542830055845e+01  4.0951695532144984e-02
1.5000000000000000e+01  -6.4970409461105811e+00  -1.0626839058508724e+01  4.1043264242024112e-02
1.5125000000000002e+01  -6.3586688724267084e+00  -1.0494091807518853e+01  4.1028704456395684e-02
1.5249999999999998e+01  -6.2226061730073949e+00  -1.0363631503374350e+01  4.0913171738420073e-02
1.5375000000000000e+01  -6.0891547479542032e+00  -1.0235756901001265e+01  4.0703759000509189e-02
1.5500000000000000e+01  -5.9585875953355387e+00  -1.0110738279096458e+01  4.0409170672621765e-02
1.5625000000000000e+01  -5.8311510322619498e+00  -9.9888197066239854e+00  4.0039427643654986e-02
1.5750000000000002e+01  -5.7070657835812586e+00  -9.8702201566169201e+00  3.9605599301305083e-02
1.5875000000000000e+01  -5.5865268246494102e+00  -9.7551333558135020e+00  3.9119555808709919e-02
1.6000000000000000e+01  -5.4697018270814155e+00  -9.6437262219617867e+00  3.8593736374734344e-02
1.6125000000000000e+01  -5.3567282663133051e+00  -9.5361359496144615e+00  3.8040925552117848e-02
1.6250000000000000e+01  -5.2477091798476243e+00  -9.4324657363143807e+00  3.7474033955522977e-02
1.6375000000000000e+01  -5.1427077305216304e+00  -9.3327793060771391e+00  3.6905877821738743e-02
1.6500000000000000e+01  -5.0417410150271902e+00  -9.2370946720566209e+00  3.6348954070424204e-02
1.6625000000000000e+01  -4.9447735244478510e+00  -9.1453775480721333e+00  3.5815209777094230e-02
1.6750000000000000e+01  -4.8517111313895667e+00  -9.0575352847156232e+00  3.5315807646553656e-02
1.6875000000000000e+01  -4.7623964786462842e+00  -8.9734122070539541e+00  3.4860891856930282e-02
1.7000000000000000e+01  -4.6766069173484182e+00  -8.8927875027386740e+00  3.4459363911430271e-02
1.7125000000000000e+01  -4.5940559198852640e+00  -8.8153765874071865e+00  3.4118678396829138e-02
1.7250000000000000e+01  -4.5143988234940942e+00  -8.7408368035745081e+00  3.3844674716931103e-02
1.7375000000000000e+01  -4.4372431013250679e+00  -8.6687776508302097e+00  3.3641457368961507e-02
1.7500000000000000e+01  -4.3621627990882841e+00  -8.5987751857146257e+00  3.3511337092609443e-02
1.7625000000000000e+01  -4.2887160624022744e+00  -8.5303895165769479e+00  3.3454843000282862e-02
1.7750000000000000e+01  -4.2164640458142255e+00  -8.4631836847145845e+00  3.3470802708438857e-02
1.7875000000000000e+01  -4.1449893105621864e+00  -8.3967420386224738e+00  3.3556490445274374e-02
1.8000000000000000e+01  -4.0739118353162160e+00  -8.3306862255897265e+00  3.3707826645701607e-02
1.8125000000000000e+01  -4.0029012159176585e+00  -8.2646873765304587e+00  3.3919617551306569e-02
1.8250000000000000e+01  -3.9316843343735961e+00  -8.1984737638525580e+00  3.4185810921424059e-02
1.8375000000000000e+01  -3.8600483962823455e+00  -8.1318338314368894e+00  3.4499755260204559e-02
1.8500000000000000e+01  -3.7878398703167129e+00  -8.0646151299813980e+00  3.4854444778186659e-02
1.8625000000000000e+01  -3.7149602398218144e+00  -7.9967200673732748e+00  3.5242738941087745e-02
1.8750000000000000e+01  -3.6413596036927167e+00  -7.9280995109656649e+00  3.5657550100404882e-02
1.8875000000000000e+01  -3.5670291896117812e+00  -7.8587453041603297e+00  3.6091995294869811e-02
1.9000000000000000e+01  -3.4919934559696086e+00  -7.7886823741996700e+00  3.6539515305402094e-02
1.9125000000000000e+01  -3.4163026319346299e+00  -7.7179612790325764e+00  3.6993959326737283e-02
1.9250000000000000e+01  -3.3400259230164027e+00  -7.6466514212352044e+00  3.7449642585046593e-02
1.9375000000000000e+01  -3.2632456310283118e+00  -7.5748351774204608e+00  3.7901380120188025e-02
