# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 44 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
1.3250000000000000e+01  -1.3547904274704733e+01  -1.7435581188122200e+01  3.6385077567241020e-02
1.3375000000000000e+01  -1.3361217927248148e+01  -1.7253801952596866e+01  3.5449782488611810e-02
1.3500000000000002e+01  -1.3186495786862146e+01  -1.7083921592697465e+01  3.4621308226070575e-02
1.3625000000000000e+01  -1.3022590133099964e+01  -1.6924801569682998e+01  3.3976711756541669e-02
1.3750000000000000e+01  -1.2867378952764673e+01  -1.6774331304478601e+01  3.3573355776378572e-02
1.3875000000000000e+01  -1.2717987762572060e+01  -1.6629648820997524e+01  3.3442339553048088e-02
1.4000000000000002e+01  -1.2571245515390270e+01  -1.6487595552016415e+01  3.3585698448159132e-02
1.4124999999999998e+01  -1.2424234966894694e+01  -1.6345265763588976e+01  3.3978423060476853e-02
1.4250000000000000e+01  -1.2274735185686859e+01  -1.6200448330485109e+01  3.4574670621742611e-02
1.4375000000000000e+01  -1.2121421643636220e+01  -1.6051826321983828e+01  3.5316149496073590e-02
1.4500000000000000e+01  -1.1963824373128430e+01  -1.5898934884018308e+01  3.6140375455177065e-02
1.4625000000000002e+01  -1.1802139022831557e+01  -1.5741972231501718e+01  3.6987235051540397e-02
1.4750000000000000e+01  -1.1636998225599097e+01  -1.5581571133893727e+01  3.7803318320482594e-02
1.4875000000000000e+01  -1.1469272685958387e+01  -1.5418600263544850e+01  3.8544235427447365e-02
1.5000000000000000e+01  -1.1299927692471110e+01  -1.5254021071824649e+01  3.9175447445198325e-02
1.5125000000000002e+01  -1.1129933310536472e+01  -1.5088798408247971e+01  3.9672151690913336e-02
1.5249999999999998e+01  -1.0960215446211794e+01  -1.4923852036639419e+01  4.0018640069136975e-02
